id,timestamp,lp,v,gtt,gtn,ggn,ts,tp,t48,t1,t2,p48,p1,p2,pexh,tic,mf,decay_coeff_comp,decay_coeff_turbine,turbine_id
1,2025-09-21 10:00:00,1.14,3.0,289.96,1349.49,6677.38,7.58,7.58,464.01,288.0,550.56,1.1,1.0,5.95,1.02,7.14,0.08,0.95,0.98,1
2,2025-09-21 10:00:10,1.61,4.5,3625.07,1362.83,6752.92,17.89,17.89,549.7,288.0,566.11,1.21,1.0,6.61,1.02,8.9,0.18,0.95,0.98,1
3,2025-09-21 10:00:20,2.12,6.0,5209.79,1370.8,6872.55,32.05,32.05,568.47,288.0,573.27,1.27,1.0,6.93,1.02,10.29,0.21,0.95,0.98,1
4,2025-09-21 10:00:30,3.13,9.0,10021.27,1436.8,7244.3,67.45,67.45,634.29,288.0,594.37,1.46,1.0,7.95,1.02,13.95,0.3,0.95,0.98,1
5,2025-09-21 10:00:40,4.15,12.0,14913.35,1619.51,7799.74,116.48,116.48,666.32,288.0,615.69,1.71,1.0,9.26,1.02,19.19,0.38,0.95,0.98,1
6,2025-09-21 10:00:50,5.16,15.0,22051.19,1926.39,8371.92,178.45,178.45,731.13,288.0,645.3,2.08,1.0,11.19,1.03,26.75,0.53,0.95,0.98,1
7,2025-09-21 10:01:00,6.15,18.0,30137.11,2303.27,8818.52,251.22,251.22,795.56,288.0,674.0,2.51,1.0,13.41,1.03,36.0,0.71,0.95,0.98,1
8,2025-09-21 10:01:10,7.18,21.0,39923.91,2691.02,9093.12,338.78,338.78,869.1,288.0,706.04,3.01,1.0,15.89,1.03,48.03,0.95,0.95,0.98,1
9,2025-09-21 10:01:20,8.22,24.0,54247.44,3108.68,9409.84,471.66,471.66,974.22,288.0,743.61,3.68,1.0,19.04,1.04,66.4,1.33,0.95,0.98,1
10,2025-09-21 10:01:30,6.21,18.0,41380.01,2667.78,8593.67,363.6,363.6,843.98,288.0,693.95,3.06,1.0,15.8,1.04,52.39,1.05,0.95,0.98,1
11,2025-09-21 10:01:40,4.18,12.0,26704.13,2095.9,7763.63,226.75,226.75,738.59,288.0,640.51,2.31,1.0,12.02,1.03,35.84,0.73,0.95,0.98,1
12,2025-09-21 10:01:50,2.12,6.0,5242.79,1371.36,6875.58,31.9,31.9,568.38,288.0,573.29,1.27,1.0,6.93,1.02,9.91,0.21,0.95,0.98,1
13,2025-09-21 10:02:00,3.13,9.0,10024.34,1435.39,7245.83,67.19,67.19,633.9,288.0,594.19,1.46,1.0,7.95,1.02,14.63,0.3,0.95,0.98,1
14,2025-09-21 10:02:10,4.15,12.0,14913.54,1619.51,7801.58,116.49,116.49,665.41,288.0,615.53,1.71,1.0,9.25,1.02,19.14,0.38,0.95,0.98,1
15,2025-09-21 10:02:20,5.16,15.0,22051.43,1926.39,8373.25,178.47,178.47,730.12,288.0,645.1,2.08,1.0,11.18,1.03,26.69,0.53,0.95,0.98,1
16,2025-09-21 10:02:30,6.15,18.0,30137.22,2303.26,8819.34,251.27,251.27,794.5,288.0,673.8,2.51,1.0,13.4,1.03,35.93,0.71,0.95,0.98,1
17,2025-09-21 10:02:40,7.18,21.0,39924.04,2691.02,9093.75,338.87,338.87,868.02,288.0,705.85,3.01,1.0,15.87,1.03,47.94,0.95,0.95,0.98,1
18,2025-09-21 10:02:50,8.22,24.0,54247.55,3108.69,9410.39,471.76,471.76,973.22,288.0,743.44,3.68,1.0,19.02,1.04,66.34,1.32,0.95,0.98,1
19,2025-09-21 10:03:00,6.21,18.0,41504.59,2673.29,8598.69,363.97,363.97,846.54,288.0,694.57,3.06,1.0,15.81,1.04,51.07,1.05,0.95,0.98,1
20,2025-09-21 10:03:10,4.18,12.0,26826.09,2101.11,7769.17,227.03,227.03,741.23,288.0,641.11,2.31,1.0,12.03,1.03,34.69,0.74,0.95,0.98,1
21,2025-09-21 10:03:20,2.12,6.0,5364.73,1376.57,6881.73,32.16,32.16,571.05,288.0,573.89,1.28,1.0,6.96,1.02,8.74,0.21,0.95,0.98,1
22,2025-09-21 10:03:30,3.13,9.0,10021.93,1435.09,7248.0,67.14,67.14,633.05,288.0,594.02,1.46,1.0,7.94,1.02,14.74,0.3,0.95,0.98,1
23,2025-09-21 10:03:40,4.15,12.0,14913.67,1619.51,7803.42,116.48,116.48,664.5,288.0,615.36,1.71,1.0,9.24,1.02,19.1,0.38,0.95,0.98,1
24,2025-09-21 10:03:50,5.16,15.0,22051.62,1926.39,8374.57,178.43,178.43,729.11,288.0,644.91,2.08,1.0,11.16,1.03,26.63,0.53,0.95,0.98,1
25,2025-09-21 10:04:00,6.15,18.0,30137.23,2303.26,8820.16,251.2,251.2,793.44,288.0,673.61,2.51,1.0,13.38,1.03,35.86,0.71,0.95,0.98,1
26,2025-09-21 10:04:10,7.18,21.0,39924.11,2691.02,9094.39,338.82,338.82,866.95,288.0,705.66,3.01,1.0,15.85,1.04,47.86,0.95,0.95,0.98,1
27,2025-09-21 10:04:20,8.22,24.0,54247.85,3108.7,9410.95,471.77,471.77,972.22,288.0,743.28,3.68,1.0,19.0,1.04,66.28,1.32,0.95,0.98,1
28,2025-09-21 10:04:30,6.21,18.0,41701.28,2679.87,8604.51,364.41,364.41,851.56,288.0,695.62,3.07,1.0,15.84,1.04,51.04,1.06,0.95,0.98,1
29,2025-09-21 10:04:40,4.18,12.0,27000.54,2106.28,7774.84,227.19,227.19,746.1,288.0,642.06,2.32,1.0,12.06,1.03,35.39,0.74,0.95,0.98,1
30,2025-09-21 10:04:50,2.12,6.0,5538.86,1381.74,6888.0,32.28,32.28,575.94,288.0,574.84,1.29,1.0,6.99,1.02,9.43,0.22,0.95,0.98,1
31,2025-09-21 10:05:00,3.13,9.0,9999.87,1433.69,7249.52,66.88,66.88,631.98,288.0,593.75,1.46,1.0,7.92,1.02,15.43,0.3,0.95,0.98,1
32,2025-09-21 10:05:10,4.15,12.0,14913.75,1619.51,7805.26,116.48,116.48,663.59,288.0,615.2,1.71,1.0,9.23,1.02,19.06,0.38,0.95,0.98,1
33,2025-09-21 10:05:20,5.16,15.0,22051.79,1926.38,8375.89,178.46,178.46,728.1,288.0,644.72,2.08,1.0,11.15,1.03,26.57,0.53,0.95,0.98,1
34,2025-09-21 10:05:30,6.15,18.0,30137.24,2303.26,8820.98,251.26,251.26,792.39,288.0,673.41,2.51,1.0,13.37,1.03,35.79,0.71,0.95,0.98,1
35,2025-09-21 10:05:40,7.18,21.0,39924.17,2691.02,9095.03,338.85,338.85,865.88,288.0,705.47,3.01,1.0,15.84,1.04,47.77,0.95,0.95,0.98,1
36,2025-09-21 10:05:50,8.22,24.0,54248.1,3108.7,9411.5,471.76,471.76,971.23,288.0,743.12,3.68,1.0,18.97,1.04,66.22,1.32,0.95,0.98,1
37,2025-09-21 10:06:00,6.21,18.0,41866.45,2683.91,8608.57,364.61,364.61,855.74,288.0,696.41,3.08,1.0,15.86,1.04,51.0,1.06,0.95,0.98,1
38,2025-09-21 10:06:10,4.18,12.0,27149.24,2109.46,7779.11,227.27,227.27,750.13,288.0,642.78,2.33,1.0,12.08,1.03,35.82,0.75,0.95,0.98,1
39,2025-09-21 10:06:20,2.12,6.0,5687.3,1384.91,6892.87,32.37,32.37,580.0,288.0,575.56,1.29,1.0,7.02,1.02,9.84,0.22,0.95,0.98,1
40,2025-09-21 10:06:30,3.13,9.0,9983.52,1432.83,7251.38,66.72,66.72,630.9,288.0,593.52,1.46,1.0,7.91,1.02,15.82,0.3,0.95,0.98,1
41,2025-09-21 10:06:40,4.15,12.0,14913.93,1619.52,7807.1,116.48,116.48,662.69,288.0,615.03,1.71,1.0,9.22,1.02,19.01,0.38,0.95,0.98,1
42,2025-09-21 10:06:50,5.16,15.0,22052.04,1926.38,8377.21,178.44,178.44,727.1,288.0,644.53,2.08,1.0,11.14,1.03,26.52,0.52,0.95,0.98,1
43,2025-09-21 10:07:00,6.15,18.0,30137.34,2303.25,8821.79,251.23,251.23,791.33,288.0,673.22,2.51,1.0,13.35,1.03,35.72,0.71,0.95,0.98,1
44,2025-09-21 10:07:10,7.18,21.0,39924.19,2691.02,9095.66,338.8,338.8,864.81,288.0,705.29,3.01,1.0,15.82,1.04,47.69,0.94,0.95,0.98,1
45,2025-09-21 10:07:20,8.22,24.0,54248.42,3108.71,9412.05,471.68,471.68,970.24,288.0,742.96,3.68,1.0,18.95,1.04,66.16,1.32,0.95,0.98,1
46,2025-09-21 10:07:30,6.21,18.0,41990.92,2686.04,8611.32,364.67,364.67,858.7,288.0,696.95,3.08,1.0,15.87,1.04,50.97,1.06,0.95,0.98,1
47,2025-09-21 10:07:40,4.18,12.0,27271.14,2111.76,7782.7,227.38,227.38,753.02,288.0,643.32,2.33,1.0,12.1,1.03,35.69,0.75,0.95,0.98,1
48,2025-09-21 10:07:50,2.12,6.0,5808.84,1387.22,6897.06,32.54,32.54,582.91,288.0,576.09,1.3,1.0,7.04,1.02,9.71,0.23,0.95,0.98,1
49,2025-09-21 10:08:00,3.13,9.0,9981.06,1433.01,7253.88,66.76,66.76,629.91,288.0,593.36,1.46,1.0,7.9,1.02,15.68,0.3,0.95,0.98,1
50,2025-09-21 10:08:10,4.15,12.0,14913.91,1619.52,7808.93,116.5,116.5,661.78,288.0,614.86,1.71,1.0,9.21,1.02,18.97,0.38,0.95,0.98,1
51,2025-09-21 10:08:20,5.16,15.0,22052.1,1926.38,8378.53,178.45,178.45,726.09,288.0,644.34,2.08,1.0,11.13,1.03,26.46,0.52,0.95,0.98,1
