id,lp,v,gtt,gtn,ggn,ts,tp,t48,t1,t2,p48,p1,p2,pexh,tic,mf,decay_coeff_comp,decay_coeff_turbine
1,1.14,3,289.96,1349.49,6677.38,7.58,7.58,464.01,288,550.56,1.1,1,5.95,1.02,7.14,0.08,0.95,0.98
2,1.61,4.5,3625.07,1362.83,6752.92,17.89,17.89,549.7,288,566.11,1.21,1,6.61,1.02,8.9,0.18,0.95,0.98
3,2.12,6,5209.79,1370.8,6872.55,32.05,32.05,568.47,288,573.27,1.27,1,6.93,1.02,10.29,0.21,0.95,0.98
4,3.13,9,10021.27,1436.8,7244.3,67.45,67.45,634.29,288,594.37,1.46,1,7.95,1.02,13.95,0.3,0.95,0.98
5,4.15,12,14913.35,1619.51,7799.74,116.48,116.48,666.32,288,615.69,1.71,1,9.26,1.02,19.19,0.38,0.95,0.98
6,5.16,15,22051.19,1926.39,8371.92,178.45,178.45,731.13,288,645.3,2.08,1,11.19,1.03,26.75,0.53,0.95,0.98
7,6.15,18,30137.11,2303.27,8818.52,251.22,251.22,795.56,288,674,2.51,1,13.41,1.03,36,0.71,0.95,0.98
8,7.18,21,39923.91,2691.02,9093.12,338.78,338.78,869.1,288,706.04,3.01,1,15.89,1.03,48.03,0.95,0.95,0.98
9,8.22,24,54247.44,3108.68,9409.84,471.66,471.66,974.22,288,743.61,3.68,1,19.04,1.04,66.4,1.33,0.95,0.98
10,6.21,18,41380.01,2667.78,8593.67,363.6,363.6,843.98,288,693.95,3.06,1,15.8,1.04,52.39,1.05,0.95,0.98
11,4.18,12,26704.13,2095.9,7763.63,226.75,226.75,738.59,288,640.51,2.31,1,12.02,1.03,35.84,0.73,0.95,0.98
12,2.12,6,5242.79,1371.36,6875.58,31.9,31.9,568.38,288,573.29,1.27,1,6.93,1.02,9.91,0.21,0.95,0.98
13,3.13,9,10024.34,1435.39,7245.83,67.19,67.19,633.9,288,594.19,1.46,1,7.95,1.02,14.63,0.3,0.95,0.98
14,4.15,12,14913.54,1619.51,7801.58,116.49,116.49,665.41,288,615.53,1.71,1,9.25,1.02,19.14,0.38,0.95,0.98
